county,geo_id,acs_name,population_25_plus,pct_high_school_or_higher,pct_bachelors_or_higher,population_16_plus,unemployment_rate,median_household_income,mean_household_income,per_capita_income,poverty_rate_all_people,pct_no_health_insurance,income_quartile,lower_income_group,avg_days_with_aqi_2020_2024,avg_good_days_2020_2024,avg_moderate_days_2020_2024,avg_usg_days_2020_2024,avg_unhealthy_days_2020_2024,avg_very_unhealthy_days_2020_2024,avg_hazardous_days_2020_2024,avg_bad_aqi_days_2020_2024,avg_bad_aqi_day_pct_2020_2024,avg_max_aqi_2020_2024,avg_aqi_90th_percentile_2020_2024,avg_median_aqi_2020_2024,avg_days_co_main_pollutant_2020_2024,avg_days_no2_main_pollutant_2020_2024,avg_days_ozone_main_pollutant_2020_2024,avg_days_pm25_main_pollutant_2020_2024,avg_days_pm10_main_pollutant_2020_2024,avg_pct_days_co_main_pollutant_2020_2024,avg_pct_days_no2_main_pollutant_2020_2024,avg_pct_days_ozone_main_pollutant_2020_2024,avg_pct_days_pm25_main_pollutant_2020_2024,avg_pct_days_pm10_main_pollutant_2020_2024
Alameda,0500000US06001,"Alameda County, California",1192437,88.8,52.2,1361968,5.4,129367,177144,65862,9.2,4.0,Q4 highest income,False,365.4,180.0,175.6,7.2,2.4,0.2,0.0,9.8,2.681787558949023,150.2,71.0,50.2,0.2,5.4,87.4,272.4,0.0,0.0547945205479452,1.4785537839658658,23.9300845871697,74.53656710831649,0.0
Amador,0500000US06005,"Amador County, California",32875,90.7,22.4,35760,5.4,88044,110400,44320,8.2,4.9,Q3,False,361.4,317.8,40.8,2.6,0.2,0.0,0.0,2.8,0.7755158947970029,124.8,57.8,37.2,0.0,0.0,361.4,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Butte,0500000US06007,"Butte County, California",135188,90.6,31.9,170504,7.5,67928,95414,38305,19.2,6.4,Q1 lowest income,True,365.4,184.4,166.0,7.8,5.4,1.4,0.4,15.0,4.103450857100082,239.4,83.8,50.6,0.0,0.0,204.0,157.6,3.8,0.0,0.0,55.83022681338423,43.13032412605734,1.039449060558425
Calaveras,0500000US06009,"Calaveras County, California",35917,92.4,23.9,39565,4.5,78647,107069,43512,13.0,5.0,Q2,True,363.2,253.0,101.8,5.2,3.0,0.2,0.0,8.4,2.3136637849882407,146.6,68.8,43.4,0.0,0.0,237.0,124.8,1.4,0.0,0.0,65.27710573091579,34.33842941886594,0.3844648502182749
Colusa,0500000US06011,"Colusa County, California",14077,74.2,16.4,16745,9.8,75672,95368,33882,11.4,8.0,Q2,True,365.0,150.4,204.8,3.8,5.6,0.4,0.0,9.8,2.6804426272813267,147.8,70.2,50.0,0.0,0.0,104.2,250.2,10.6,0.0,0.0,28.576997956619458,68.52156994479842,2.9014320985821302
Contra Costa,0500000US06013,"Contra Costa County, California",816152,89.6,45.2,941806,6.5,127229,174872,62927,8.4,4.6,Q4 highest income,False,364.4,185.6,173.4,3.2,2.0,0.2,0.0,5.4,1.476757242308556,140.8,67.6,49.2,0.0,0.6,91.0,272.8,0.0,0.0,0.164084138034284,24.92338052572897,74.91253533623674,0.0
Del Norte,0500000US06015,"Del Norte County, California",19816,85.9,21.4,22236,6.4,67058,85665,31028,12.9,5.5,Q1 lowest income,True,315.2,250.2,61.2,2.4,1.0,0.4,0.0,3.8,1.2426515387114339,140.6,55.2,33.2,0.0,0.0,0.0,315.2,0.0,0.0,0.0,0.0,100.0,0.0
El Dorado,0500000US06017,"El Dorado County, California",142436,95.2,40.0,159979,4.5,108845,150262,59958,8.0,3.9,Q4 highest income,False,365.4,256.2,94.8,11.6,2.4,0.2,0.2,14.4,3.940564413504005,197.0,83.4,43.4,0.0,0.0,350.6,9.2,5.6,0.0,0.0,95.94969683359533,2.517853132719515,1.532450033685156
Fresno,0500000US06019,"Fresno County, California",636203,79.1,24.3,768405,8.7,74201,100639,32963,18.3,6.7,Q2,True,365.4,76.6,211.2,61.8,13.6,2.0,0.2,77.6,21.233625271352643,221.6,127.4,69.2,0.0,0.0,178.2,175.0,12.2,0.0,0.0,48.770267235571524,47.89145894153754,3.3382738228909346
Glenn,0500000US06021,"Glenn County, California",18378,78.2,15.1,21817,8.0,67139,84971,30361,16.0,8.5,Q1 lowest income,True,363.6,254.6,100.0,3.4,5.0,0.6,0.0,9.0,2.470879957181327,138.8,64.4,42.0,0.0,0.0,210.8,145.8,7.0,0.0,0.0,58.00357036684947,40.07178305320518,1.9246465799453571
Humboldt,0500000US06023,"Humboldt County, California",93031,91.9,33.1,112461,9.0,61160,86064,36080,18.7,4.9,Q1 lowest income,True,365.4,308.2,54.2,1.8,0.4,0.8,0.0,3.0,0.8213189610000751,140.6,52.2,30.4,2.6,0.0,200.2,119.0,43.6,0.7123287671232876,0.0,54.79317314170222,32.56082042069018,11.933677670484318
Imperial,0500000US06025,"Imperial County, California",111419,71.5,16.1,134835,12.5,57681,79363,23552,19.5,6.0,Q1 lowest income,True,365.4,90.2,235.0,32.2,3.8,1.6,2.6,40.2,11.002021109364474,448.0,102.4,61.0,0.0,1.0,156.6,119.8,88.0,0.0,0.2736731791301744,42.85215959278389,32.785388127853885,24.088779100232053
Inyo,0500000US06027,"Inyo County, California",13770,93.0,31.5,15269,2.5,73991,94111,41767,10.9,7.0,Q2,True,365.4,114.2,215.0,19.0,8.4,3.6,5.2,36.2,9.905082715772139,984.4,105.0,59.6,0.0,0.0,189.6,139.2,36.6,0.0,0.0,51.88442248671307,38.09836065573771,10.017216857549219
Kern,0500000US06029,"Kern County, California",563569,77.0,18.8,684840,8.6,70210,93147,29699,19.1,7.8,Q2,True,365.4,59.8,196.8,87.0,20.4,1.2,0.2,108.8,29.774683733812413,244.2,137.0,77.6,0.0,0.2,193.2,155.0,17.0,0.0,0.0547945205479452,52.87027472116176,42.4226364248821,4.652294333408189
Kings,0500000US06031,"Kings County, California",96271,75.8,13.6,117102,10.8,70995,89359,27306,16.0,7.3,Q2,True,365.4,91.0,227.6,40.6,5.4,0.4,0.4,46.8,12.80619806871772,344.8,107.2,64.2,0.0,0.0,143.8,165.4,56.2,0.0,0.0,39.35489183322105,45.26341792050303,15.38169024627592
Lake,0500000US06033,"Lake County, California",48884,87.6,17.8,54779,11.1,60621,86306,35372,17.0,6.9,Q1 lowest income,True,359.2,353.2,5.0,0.2,0.8,0.0,0.0,1.0,0.2841000032011268,111.4,42.0,32.2,0.0,0.0,343.8,14.6,0.8,0.0,0.0,95.6839670373889,4.089713298089192,0.2263196645219117
Los Angeles,0500000US06037,"Los Angeles County, California",6917487,80.9,36.0,8033368,7.3,90112,128770,45792,13.7,8.2,Q3,False,365.4,28.0,227.8,68.4,35.0,6.2,0.0,109.6,29.986975072984507,236.0,152.0,77.0,0.0,9.4,169.2,180.4,6.4,0.0,2.5738453477056664,46.29957332135639,49.37480350325623,1.7517778276817126
Madera,0500000US06039,"Madera County, California",101462,73.1,17.9,122555,10.1,76627,100809,30077,19.2,7.4,Q2,True,365.4,141.8,195.4,22.8,4.6,0.8,0.0,28.2,7.714349876487761,179.2,96.0,56.0,0.0,0.0,204.0,136.2,25.2,0.0,0.0,55.8323227786511,37.2722509169848,6.895426304364099
Marin,0500000US06041,"Marin County, California",189753,92.8,61.1,214754,6.1,149091,232566,93920,8.3,3.8,Q4 highest income,False,363.2,287.4,74.0,0.8,0.8,0.2,0.0,1.8,0.4918032786885246,119.0,56.6,34.6,0.0,3.6,141.4,218.0,0.2,0.0,0.9896930352262394,38.83928185101101,60.11592869502997,0.05509641873278237
Mariposa,0500000US06043,"Mariposa County, California",13344,90.3,31.8,14532,6.0,68412,89438,41417,14.0,5.2,Q2,True,365.4,214.2,124.8,15.2,8.6,1.6,1.0,26.4,7.2247922748708735,366.0,89.6,47.6,0.0,0.0,285.6,78.2,1.6,0.0,0.0,78.15510142974773,21.407590388502136,0.43730818175013103
Mendocino,0500000US06045,"Mendocino County, California",65093,87.3,25.2,73513,9.0,68092,95438,38760,15.4,7.7,Q1 lowest income,True,365.4,193.4,164.4,4.6,2.4,0.0,0.6,7.6,2.078748409312074,245.4,68.6,47.2,0.0,0.0,68.4,296.2,0.8,0.0,0.0,18.708136836589567,81.07328392843775,0.21857923497267762
Merced,0500000US06047,"Merced County, California",174127,72.3,15.3,217521,10.6,65510,87781,28030,19.1,8.1,Q1 lowest income,True,365.4,153.0,186.8,22.0,3.6,0.0,0.0,25.6,7.003667939217007,156.6,94.0,54.0,0.0,0.0,205.2,146.8,13.4,0.0,0.0,56.159143648476686,40.17261771090651,3.6682386406168126
Mono,0500000US06051,"Mono County, California",10217,88.8,32.2,11018,3.1,99415,123063,54872,8.6,8.8,Q3,False,365.2,277.0,63.2,6.2,6.6,2.4,9.8,25.0,6.843347983702801,3065.0,94.4,29.6,0.0,0.0,0.0,254.2,111.0,0.0,0.0,0.0,69.5991203197581,30.400879680241907
Monterey,0500000US06053,"Monterey County, California",281390,73.3,28.2,338030,5.2,97230,131486,40422,12.7,9.6,Q3,False,365.4,277.0,85.2,1.0,1.6,0.6,0.0,3.2,0.8744666516954862,124.2,57.0,40.0,0.0,0.0,172.2,176.8,16.4,0.0,0.0,47.12478478928064,48.38835242158844,4.486862789130923
Napa,0500000US06055,"Napa County, California",97520,85.1,39.8,112410,5.2,111471,161672,61040,8.5,5.7,Q4 highest income,False,252.5,183.5,61.5,3.5,3.5,0.5,0.0,7.5,2.054794520547945,150.5,61.0,40.0,2.0,0.0,118.5,132.0,0.0,0.7681017612524461,0.0,48.75733855185911,50.474559686888455,0.0
