state,county,year,days_with_aqi,good_days,moderate_days,usg_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,aqi_90th_percentile,median_aqi,days_co_main_pollutant,days_no2_main_pollutant,days_ozone_main_pollutant,days_pm25_main_pollutant,days_pm10_main_pollutant,bad_aqi_days,bad_aqi_day_pct,pct_days_co_main_pollutant,pct_days_no2_main_pollutant,pct_days_ozone_main_pollutant,pct_days_pm25_main_pollutant,pct_days_pm10_main_pollutant,geo_id,acs_name,population_25_plus,pct_high_school_or_higher,pct_bachelors_or_higher,population_16_plus,unemployment_rate,median_household_income,mean_household_income,per_capita_income,poverty_rate_all_people,pct_no_health_insurance,income_quartile,lower_income_group
California,Alameda,2020,366,169,177,8,11,1,0,243,81,52,0,6,87,273,0,20,5.46448087431694,0.0,1.639344262295082,23.770491803278688,74.59016393442623,0.0,0500000US06001,"Alameda County, California",1192437,88.8,52.2,1361968,5.4,129367,177144,65862,9.2,4.0,Q4 highest income,False
California,Alameda,2021,365,155,200,9,1,0,0,151,71,53,0,3,99,263,0,10,2.73972602739726,0.0,0.821917808219178,27.123287671232877,72.05479452054794,0.0,0500000US06001,"Alameda County, California",1192437,88.8,52.2,1361968,5.4,129367,177144,65862,9.2,4.0,Q4 highest income,False
California,Alameda,2022,365,185,175,5,0,0,0,122,70,49,0,2,108,255,0,5,1.36986301369863,0.0,0.547945205479452,29.589041095890412,69.86301369863014,0.0,0500000US06001,"Alameda County, California",1192437,88.8,52.2,1361968,5.4,129367,177144,65862,9.2,4.0,Q4 highest income,False
California,Alameda,2023,365,197,155,13,0,0,0,130,70,48,1,16,129,219,0,13,3.5616438356164384,0.273972602739726,4.383561643835616,35.342465753424655,60.0,0.0,0500000US06001,"Alameda County, California",1192437,88.8,52.2,1361968,5.4,129367,177144,65862,9.2,4.0,Q4 highest income,False
California,Alameda,2024,366,194,171,1,0,0,0,105,63,49,0,0,14,352,0,1,0.273224043715847,0.0,0.0,3.825136612021858,96.17486338797814,0.0,0500000US06001,"Alameda County, California",1192437,88.8,52.2,1361968,5.4,129367,177144,65862,9.2,4.0,Q4 highest income,False
California,Amador,2020,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0,3,0.8356545961002786,0.0,0.0,100.0,0.0,0.0,0500000US06005,"Amador County, California",32875,90.7,22.4,35760,5.4,88044,110400,44320,8.2,4.9,Q3,False
California,Amador,2021,365,307,54,4,0,0,0,133,67,37,0,0,365,0,0,4,1.095890410958904,0.0,0.0,100.0,0.0,0.0,0500000US06005,"Amador County, California",32875,90.7,22.4,35760,5.4,88044,110400,44320,8.2,4.9,Q3,False
California,Amador,2022,364,333,30,1,0,0,0,112,50,36,0,0,364,0,0,1,0.27472527472527475,0.0,0.0,100.0,0.0,0.0,0500000US06005,"Amador County, California",32875,90.7,22.4,35760,5.4,88044,110400,44320,8.2,4.9,Q3,False
California,Amador,2023,360,341,19,0,0,0,0,80,48,36,0,0,360,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0500000US06005,"Amador County, California",32875,90.7,22.4,35760,5.4,88044,110400,44320,8.2,4.9,Q3,False
California,Amador,2024,359,281,72,6,0,0,0,143,74,40,0,0,359,0,0,6,1.6713091922005572,0.0,0.0,100.0,0.0,0.0,0500000US06005,"Amador County, California",32875,90.7,22.4,35760,5.4,88044,110400,44320,8.2,4.9,Q3,False
California,Butte,2020,366,149,178,18,16,3,2,508,110,54,0,0,159,204,3,39,10.655737704918032,0.0,0.0,43.44262295081967,55.73770491803278,0.819672131147541,0500000US06007,"Butte County, California",135188,90.6,31.9,170504,7.5,67928,95414,38305,19.2,6.4,Q1 lowest income,True
California,Butte,2021,365,160,174,18,10,3,0,257,90,53,0,0,177,185,3,31,8.493150684931507,0.0,0.0,48.49315068493151,50.68493150684932,0.821917808219178,0500000US06007,"Butte County, California",135188,90.6,31.9,170504,7.5,67928,95414,38305,19.2,6.4,Q1 lowest income,True
California,Butte,2022,365,191,171,3,0,0,0,119,77,50,0,0,239,126,0,3,0.821917808219178,0.0,0.0,65.47945205479452,34.52054794520548,0.0,0500000US06007,"Butte County, California",135188,90.6,31.9,170504,7.5,67928,95414,38305,19.2,6.4,Q1 lowest income,True
California,Butte,2023,365,191,174,0,0,0,0,100,71,50,0,0,202,158,5,0,0.0,0.0,0.0,55.342465753424655,43.28767123287671,1.36986301369863,0500000US06007,"Butte County, California",135188,90.6,31.9,170504,7.5,67928,95414,38305,19.2,6.4,Q1 lowest income,True
California,Butte,2024,366,231,133,0,1,1,0,213,71,46,0,0,243,115,8,2,0.546448087431694,0.0,0.0,66.39344262295081,31.420765027322407,2.185792349726776,0500000US06007,"Butte County, California",135188,90.6,31.9,170504,7.5,67928,95414,38305,19.2,6.4,Q1 lowest income,True
California,Calaveras,2020,364,206,135,10,12,1,0,210,79,48,0,0,182,177,5,23,6.318681318681318,0.0,0.0,50.0,48.62637362637363,1.3736263736263736,0500000US06009,"Calaveras County, California",35917,92.4,23.9,39565,4.5,78647,107069,43512,13.0,5.0,Q2,True
California,Calaveras,2021,364,220,135,6,3,0,0,178,77,46,0,0,216,148,0,9,2.4725274725274726,0.0,0.0,59.34065934065934,40.65934065934066,0.0,0500000US06009,"Calaveras County, California",35917,92.4,23.9,39565,4.5,78647,107069,43512,13.0,5.0,Q2,True
California,Calaveras,2022,364,286,77,1,0,0,0,115,58,41,0,0,237,126,1,1,0.27472527472527475,0.0,0.0,65.10989010989012,34.61538461538461,0.27472527472527475,0500000US06009,"Calaveras County, California",35917,92.4,23.9,39565,4.5,78647,107069,43512,13.0,5.0,Q2,True
