socio_variable,air_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_fdr_p,spearman_fdr_p
pct_high_school_or_higher,avg_median_aqi_2020_2024,53,-0.44217429215843257,0.0009164791314634495,-0.3764342905515311,0.005467310923236979,0.44217429215843257,0.3764342905515311,0.011730932882732154,0.02915899159059722
pct_no_health_insurance,avg_bad_aqi_day_pct_2020_2024,53,0.4032094648210818,0.002756811033423546,0.4392222644185583,0.001000848752183919,0.4032094648210818,0.4392222644185583,0.029405984356517825,0.010675720023295136
pct_no_health_insurance,avg_aqi_90th_percentile_2020_2024,53,0.3976380651163258,0.0031936960836925453,0.41037286623989805,0.00227332766032462,0.3976380651163258,0.41037286623989805,0.025549568669540362,0.01818662128259696
pct_high_school_or_higher,avg_bad_aqi_day_pct_2020_2024,53,-0.364090470580751,0.007360352356751477,-0.2659731069453113,0.05423288064337271,0.364090470580751,0.2659731069453113,0.04710625508320945,0.09916869603359582
per_capita_income,avg_aqi_90th_percentile_2020_2024,53,-0.36379580147700596,0.007411767451824022,-0.3746396539458937,0.005712827434999527,0.36379580147700596,0.3746396539458937,0.04312301062879431,0.0281246889107669
per_capita_income,avg_median_aqi_2020_2024,53,-0.3591899726051706,0.008256993271871774,-0.34744037792243165,0.010801837080111641,0.3591899726051706,0.34744037792243165,0.0440372974499828,0.043207348320446565
per_capita_income,avg_bad_aqi_day_pct_2020_2024,53,-0.3480495546865353,0.010654958612060398,-0.453887556283888,0.0006411293082433296,0.3480495546865353,0.453887556283888,0.05245518085937427,0.010258068931893273
pct_no_health_insurance,avg_median_aqi_2020_2024,53,0.3341612793732697,0.01446631658854509,0.3127068341299124,0.02262200160161701,0.3341612793732697,0.3127068341299124,0.06172295077779238,0.057912324100139544
pct_high_school_or_higher,avg_aqi_90th_percentile_2020_2024,53,-0.326285952111379,0.017106250833461432,-0.24273645706750813,0.07989301262664769,0.326285952111379,0.24273645706750813,0.06842500333384573,0.1217417335263203
pct_bachelors_or_higher,avg_aqi_90th_percentile_2020_2024,53,-0.29044586030208686,0.03487792478571196,-0.2817685127888621,0.04095248129845385,0.29044586030208686,0.2817685127888621,0.12401039923808696,0.09037788976210505
pct_bachelors_or_higher,avg_bad_aqi_day_pct_2020_2024,53,-0.2887365686294648,0.0360115028874415,-0.3467532212055231,0.010969609674380884,0.2887365686294648,0.3467532212055231,0.12130190446296085,0.04129735406825745
mean_household_income,avg_aqi_90th_percentile_2020_2024,53,-0.2840084814523612,0.03930676311131694,-0.2456607201347751,0.07621667684626456,0.2840084814523612,0.2456607201347751,0.11979203995829926,0.11897237361368125
pct_bachelors_or_higher,avg_median_aqi_2020_2024,53,-0.2612734992193314,0.05879633350607574,-0.23650515429271454,0.08819268197063063,0.2612734992193314,0.23650515429271454,0.17104387929040216,0.12828026468455364
unemployment_rate,avg_median_aqi_2020_2024,53,0.2611261159657978,0.058944299367140886,0.30618021522976036,0.025765817470901446,0.2611261159657978,0.30618021522976036,0.16401891997813117,0.06107453030139602
